0	0	0	0	
1	1	1	1	
2	0	0	0	
3	0	0	1	
4	0	0	0	
5	0	1	1	
6	0	0	0	
7	0	1	0	
8	1	1	1	
9	0	1	1	
10	0	0	0	
11	1	1	0	
12	1	0	0	
13	0	0	0	
14	0	1	0	
15	0	0	0	
16	1	0	1	
17	1	0	1	
18	0	0	0	
19	1	1	0	
20	0	1	0	
21	0	1	0	
22	0	0	1	
23	1	0	1	
24	0	1	1	
25	0	0	1	
26	0	0	1	
27	0	1	0	
28	0	0	0	
29	0	1	1	
30	1	0	1	
31	0	0	1	
32	0	0	0	
33	1	0	0	
34	1	0	1	
35	0	1	0	
36	0	0	0	
37	0	0	0	
38	0	0	0	
39	1	0	1	
40	1	0	0	
41	0	0	1	
42	0	0	0	
43	0	0	1	
44	0	0	0	
45	0	0	0	
46	0	1	1	
47	1	1	1	
48	0	0	0	
49	0	1	1	
50	0	0	1	
51	0	0	1	
52	0	0	0	
53	0	1	0	
54	0	0	1	
55	0	0	1	
56	0	0	0	
57	0	1	1	
58	0	0	1	
59	1	1	1	
60	0	0	0	
61	0	0	1	
62	1	0	1	
63	0	0	0	
64	0	0	0	
65	0	1	0	
66	0	0	0	
67	0	0	0	
68	0	0	0	
69	0	0	0	
70	0	0	0	
71	0	1	1	
72	0	1	1	
73	0	1	1	
74	0	1	0	
75	1	0	0	
76	0	1	1	
77	0	0	1	
78	0	0	0	
79	0	0	1	
80	0	0	0	
81	0	0	0	
82	1	1	0	
83	0	0	0	
84	0	0	0	
85	0	0	0	
86	0	0	0	
87	0	0	1	
88	0	0	0	
89	1	1	1	
90	1	0	0	
91	0	0	0	
92	0	0	0	
93	1	1	1	
94	1	0	1	
95	0	1	0	
96	1	0	1	
97	0	0	0	
98	0	1	0	
99	0	1	0	
100	1	1	1	
101	1	1	0	
102	0	0	1	
103	0	1	0	
104	0	0	1	
105	1	0	0	
106	0	1	0	
107	0	0	1	
108	1	1	0	
109	1	0	0	
110	1	1	0	
111	0	0	0	
112	0	1	0	
113	0	0	0	
114	0	0	0	
115	0	0	1	
116	0	0	0	
117	0	0	1	
118	0	1	0	
119	0	1	1	
120	0	0	0	
121	0	0	0	
122	0	1	0	
123	0	1	1	
124	0	1	0	
125	0	0	0	
126	1	1	1	
127	1	1	0	
128	0	1	1	
