0	0 0 1
1	0 0 1
2	1 0 0
3	0 1 0
4	0 0 1
5	0 0 1
6	0 0 1
7	1 0 0
8	0 1 0
9	0 1 0
10	1 0 0
11	0 1 0
12	1 0 0
13	1 0 0
14	1 0 0
15	1 0 0
16	0 0 1
17	0 0 1
18	1 0 0
19	1 0 0
20	1 0 0
21	0 1 0
22	1 0 0
23	0 1 0
24	0 1 0
25	0 1 0
26	0 0 1
27	0 0 1
28	1 0 0
29	0 1 0
30	0 1 0
31	0 0 1
32	0 1 0
33	0 1 0
34	0 0 1
35	0 0 1
36	0 1 0
37	1 0 0
38	1 0 0
39	0 0 1
40	0 1 0
41	1 0 0
42	0 0 1
43	1 0 0
44	0 1 0
45	1 0 0
46	0 1 0
47	1 0 0
48	1 0 0
49	0 0 1
50	0 1 0
51	0 0 1
52	0 0 1
53	1 0 0
54	1 0 0
55	0 0 1
56	0 1 0
57	1 0 0
58	0 1 0
59	1 0 0
60	1 0 0
61	1 0 0
62	0 1 0
63	0 1 0
64	1 0 0
65	0 0 1
66	1 0 0
67	1 0 0
68	0 1 0
69	1 0 0
70	0 1 0
71	0 1 0
72	0 0 1
73	0 0 1
74	0 0 1
75	0 0 1
76	0 1 0
77	0 1 0
78	1 0 0
79	0 1 0
80	0 0 1
81	0 0 1
82	1 0 0
83	0 1 0
84	0 0 1
85	1 0 0
86	0 1 0
87	1 0 0
88	0 1 0
89	0 0 1
90	0 1 0
91	1 0 0
92	0 1 0
93	1 0 0
94	0 1 0
95	1 0 0
96	0 1 0
97	1 0 0
98	0 0 1
99	0 0 1
100	0 0 1
101	0 0 1
102	1 0 0
103	1 0 0
104	0 0 1
105	0 0 1
106	0 1 0
107	1 0 0
108	1 0 0
109	0 1 0
110	0 1 0
111	1 0 0
112	0 1 0
113	0 0 1
114	0 1 0
115	0 1 0
116	1 0 0
117	0 1 0
118	0 1 0
119	0 0 1
120	0 0 1
121	0 1 0
122	0 0 1
123	1 0 0
124	0 1 0
125	0 1 0
126	1 0 0
127	0 0 1
128	1 0 0
129	0 0 1
130	0 1 0
131	1 0 0
132	1 0 0
133	1 0 0
134	1 0 0
135	1 0 0
136	1 0 0
137	0 0 1
138	0 1 0
139	0 1 0
140	1 0 0
141	0 0 1
142	0 0 1
143	0 0 1
144	0 1 0
145	0 0 1
146	0 1 0
147	0 1 0
148	0 0 1
149	0 1 0
150	0 0 1
151	1 0 0
152	1 0 0
153	0 1 0
154	0 1 0
155	0 1 0
156	1 0 0
157	1 0 0
158	0 1 0
159	0 0 1
160	0 1 0
161	0 0 1
162	1 0 0
163	0 0 1
164	0 1 0
165	0 1 0
166	0 0 1
167	1 0 0
168	0 0 1
169	0 1 0
170	1 0 0
171	0 1 0
172	0 1 0
173	0 0 1
174	0 0 1
175	1 0 0
176	0 1 0
177	1 0 0
178	1 0 0
179	0 0 1
180	0 0 1
181	0 1 0
182	0 1 0
183	0 0 1
184	0 1 0
185	1 0 0
186	0 0 1
187	0 0 1
188	1 0 0
189	1 0 0
190	0 0 1
191	0 0 1
192	0 1 0
193	1 0 0
194	0 1 0
195	0 0 1
196	0 0 1
197	0 0 1
198	0 0 1
